Target Distance: 100, Step Size: 20
0: (x,y) = (0, 0)
1: (x,y) = (-13.1212, -15.0942)
2: (x,y) = (6.00491, -9.24676)
3: (x,y) = (17.1888, -25.8275)
4: (x,y) = (21.005, -45.4601)
5: (x,y) = (3.51256, -35.7639)
6: (x,y) = (2.81457, -55.7517)
7: (x,y) = (-9.77184, -40.2088)
8: (x,y) = (7.72055, -49.9049)
9: (x,y) = (-3.4633, -33.3242)
10: (x,y) = (-16.3191, -48.6451)
11: (x,y) = (-32.8998, -59.8289)
12: (x,y) = (-43.2006, -76.9723)
13: (x,y) = (-23.7947, -81.8107)
14: (x,y) = (-33.7947, -64.4902)
15: (x,y) = (-53.7916, -64.8393)
16: (x,y) = (-73.1975, -69.6777)
After 16 steps, the subject has the following location:
(x,y) = (-73.1975, -69.6777)
 or
(m,a) = (101.059, -136.411)
Average outward distance per step = 6.31617
Target Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (1.53209, 1.28558)
2: (x,y) = (1.18479, -0.68404)
3: (x,y) = (-0.369499, 0.5746)
4: (x,y) = (1.60588, 0.261732)
5: (x,y) = (3.33793, 1.26173)
6: (x,y) = (1.54034, 0.384989)
7: (x,y) = (1.78408, -1.6001)
8: (x,y) = (0.525438, -0.0458111)
9: (x,y) = (2.43805, 0.538932)
10: (x,y) = (3.85226, -0.875281)
11: (x,y) = (2.54014, -2.3847)
12: (x,y) = (0.591403, -2.8346)
13: (x,y) = (1.90352, -4.34402)
14: (x,y) = (0.843682, -2.64793)
15: (x,y) = (-0.0015542, -0.83531)
16: (x,y) = (-0.451456, -2.78405)
17: (x,y) = (-0.138587, -4.75943)
18: (x,y) = (-2.00575, -4.04269)
19: (x,y) = (-3.60302, -5.24632)
20: (x,y) = (-2.31744, -3.71423)
21: (x,y) = (-4.13006, -4.55947)
22: (x,y) = (-5.09968, -2.81023)
23: (x,y) = (-6.79578, -3.87007)
24: (x,y) = (-8.30519, -2.55795)
25: (x,y) = (-9.21318, -0.775937)
26: (x,y) = (-7.28132, -1.29357)
27: (x,y) = (-8.89936, -2.46915)
28: (x,y) = (-10.7264, -3.28262)
29: (x,y) = (-9.15043, -2.0513)
30: (x,y) = (-10.326, -3.66933)
31: (x,y) = (-9.60926, -5.53649)
32: (x,y) = (-9.88761, -3.55595)
33: (x,y) = (-10.7011, -1.72886)
34: (x,y) = (-11.0484, -3.69848)
35: (x,y) = (-10.7355, -5.67386)
36: (x,y) = (-10.5612, -7.66624)
37: (x,y) = (-8.82915, -8.66624)
38: (x,y) = (-7.71076, -7.00817)
39: (x,y) = (-7.22692, -8.94876)
40: (x,y) = (-5.46102, -9.8877)
41: (x,y) = (-7.19307, -8.8877)
42: (x,y) = (-5.28046, -8.30296)
43: (x,y) = (-3.28168, -8.37276)
44: (x,y) = (-3.73158, -10.3215)
45: (x,y) = (-3.59207, -8.32637)
46: (x,y) = (-3.97369, -10.2896)
47: (x,y) = (-2.91385, -8.59353)
48: (x,y) = (-3.1922, -10.5741)
49: (x,y) = (-4.70162, -9.26195)
50: (x,y) = (-6.39771, -8.20211)
51: (x,y) = (-7.33665, -6.43621)
52: (x,y) = (-6.55519, -4.5952)
53: (x,y) = (-6.45052, -6.59246)
54: (x,y) = (-7.51036, -4.89637)
55: (x,y) = (-5.65599, -5.64558)
56: (x,y) = (-6.80314, -4.00728)
57: (x,y) = (-7.83322, -2.29294)
58: (x,y) = (-8.14609, -4.26832)
59: (x,y) = (-7.73027, -6.22461)
60: (x,y) = (-9.72996, -6.18971)
61: (x,y) = (-11.6996, -5.84241)
62: (x,y) = (-11.2838, -3.88612)
63: (x,y) = (-13.2834, -3.92102)
64: (x,y) = (-14.5956, -5.43044)
65: (x,y) = (-16.2136, -4.25487)
66: (x,y) = (-14.2139, -4.28978)
67: (x,y) = (-16.1458, -4.80741)
68: (x,y) = (-14.5277, -5.98298)
69: (x,y) = (-14.4579, -3.9842)
70: (x,y) = (-15.77, -5.49362)
71: (x,y) = (-13.9157, -6.24284)
72: (x,y) = (-13.9157, -8.24284)
73: (x,y) = (-12.9767, -10.0087)
74: (x,y) = (-14.9573, -9.73038)
75: (x,y) = (-16.42, -8.36639)
76: (x,y) = (-15.8352, -6.45378)
77: (x,y) = (-17.2739, -5.06446)
78: (x,y) = (-18.4495, -6.6825)
79: (x,y) = (-17.7983, -8.57353)
80: (x,y) = (-15.8093, -8.78259)
81: (x,y) = (-17.3853, -7.55127)
82: (x,y) = (-15.5443, -6.7698)
83: (x,y) = (-16.9585, -8.18402)
84: (x,y) = (-15.3005, -9.3024)
85: (x,y) = (-13.8862, -10.7166)
86: (x,y) = (-13.7119, -12.709)
87: (x,y) = (-12.0539, -11.5906)
88: (x,y) = (-13.8197, -10.6517)
89: (x,y) = (-13.4381, -8.68842)
90: (x,y) = (-11.6255, -7.84319)
91: (x,y) = (-13.2836, -6.7248)
92: (x,y) = (-15.1107, -5.91133)
93: (x,y) = (-13.852, -7.46562)
94: (x,y) = (-15.8411, -7.67468)
95: (x,y) = (-15.0919, -9.52904)
